TEAM,NAME,EXPERIENCE,URL,POSITION,AGE,HT,WT,COLLEGE,SALARY,PPG_LAST_SEASON,APG_LAST_SEASON,RPG_LAST_SEASON,PER_LAST_SEASON,PPG_CAREER,APG_CAREER,RGP_CAREER,GP,MPG,FGM_FGA,FGP,THM_THA,THP,FTM_FTA,FTP,APG,BLKPG,STLPG,TOPG,PPG
Golden State Warriors,Damian Jones,2,http://www.espn.com/nba/player/_/id/3064559,C,23,213.36,110.86,Vanderbilt,"1,544,951",1.7,0.9,0.2,6.88,1.8,1.5,0.3,25,7,0.8-1.5,0.5,0.0-0.0,0,0.2-0.6,0.4,0.1,0.3,0.1,0.4,1.8
Golden State Warriors,Damion Lee,1,http://www.espn.com/nba/player/_/id/2595209,SG,25,198.12,95.02,Louisville,Not signed,10.7,1.9,4.7,12.08,10.7,1.9,4.7,15,26.9,4.1-10.1,0.408,1.0-4.0,0.25,1.5-1.9,0.759,1.9,0.1,1.3,0.9,10.7
Golden State Warriors,Shaun Livingston,13,http://www.espn.com/nba/player/_/id/2393,PG,33,200.66,86.88,-,"8,307,692",5.5,2,1.8,11.64,6.5,3.1,2.4,769,21.1,2.7-5.5,0.485,0.0-0.1,0.183,1.1-1.4,0.794,3.1,0.4,0.7,1.3,6.5
Golden State Warriors,Kevon Looney,3,http://www.espn.com/nba/player/_/id/3155535,SF,22,205.74,99.55,UCLA,"1,512,601",4,0.6,3.3,14.82,3.3,0.6,2.8,124,11.1,1.4-2.5,0.56,0.0-0.1,0.25,0.5-0.9,0.568,0.6,0.6,0.4,0.4,3.3
Golden State Warriors,Alfonzo McKinnie,1,http://www.espn.com/nba/player/_/id/2530923,SF,26,203.2,97.29,Green Bay,Not signed,1.5,0.1,0.5,10.11,1.5,0.1,0.5,14,3.8,0.6-1.1,0.533,0.2-0.6,0.333,0.1-0.2,0.667,0.1,0.1,0.1,0.2,1.5
Golden State Warriors,Kendrick Nunn,0,http://www.espn.com/nba/player/_/id/3056247,SG,23,190.5,87.33,Oakland,Not signed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden State Warriors,Klay Thompson,7,http://www.espn.com/nba/player/_/id/6475,SG,28,200.66,97.29,Washington State,"18,988,725",20,2.5,3.8,16.15,19.2,2.3,3.4,537,32.9,7.2-15.7,0.458,2.9-6.9,0.422,1.9-2.3,0.852,2.3,0.5,0.9,1.7,19.2
LA Clippers,Jamel Artis,1,http://www.espn.com/nba/player/_/id/3059276,SG,25,200.66,96.38,Pittsburgh,Not signed,5.1,1.2,2.5,6.96,5.1,1.2,2.5,15,18.6,2.1-5.3,0.392,0.5-1.9,0.276,0.5-0.8,0.583,1.2,0.2,0.1,0.5,5.1
LA Clippers,Patrick Beverley,6,http://www.espn.com/nba/player/_/id/3964,PG,30,185.42,83.71,Arkansas,"5,027,028",12.2,2.9,4.1,12.46,9.4,3.4,4.1,302,28.6,3.4-8.1,0.413,1.7-4.4,0.376,1.0-1.3,0.767,3.4,0.4,1.3,1.4,9.4
LA Clippers,Avery Bradley,8,http://www.espn.com/nba/player/_/id/4240,SG,27,187.96,81.45,Texas,"12,000,000",14.3,2,2.5,9.71,12.3,1.7,3,459,28.4,5.0-11.3,0.439,1.3-3.5,0.366,1.1-1.4,0.772,1.7,0.2,1.1,1.5,12.3
